,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,25,27.5,41.4,23,253,2070,23.0,22,15,37,20,2,3,55,1,22.8,20.4,17.3,37.7,304,553,0.96,0.65,1.61,0.87,1.52,0.99,0.75,1.74,0.89,1.64
vs Aston Villa,25,27.0,52.1,23,253,2070,23.0,34,20,54,31,3,4,41,1,35.7,32.5,24.3,56.9,394,835,1.48,0.87,2.35,1.35,2.22,1.55,1.06,2.61,1.42,2.47
vs Bournemouth,29,27.3,60.6,23,253,2070,23.0,42,29,71,36,6,6,35,0,37.8,33.1,25.8,58.9,466,1223,1.83,1.26,3.09,1.57,2.83,1.64,1.12,2.76,1.44,2.56
vs Brentford,25,27.1,56.3,23,253,2070,23.0,28,21,49,27,1,1,36,1,29.0,28.3,22.0,50.4,465,978,1.22,0.91,2.13,1.17,2.09,1.26,0.96,2.22,1.23,2.19
vs Brighton,24,27.4,41.2,22,242,1980,22.0,26,14,40,21,5,6,54,1,26.5,21.6,14.9,36.5,296,632,1.18,0.64,1.82,0.95,1.59,1.20,0.68,1.88,0.98,1.66
vs Chelsea,32,27.3,41.1,23,253,2070,23.0,21,15,36,21,0,0,46,0,29.1,29.1,23.0,52.0,338,747,0.91,0.65,1.57,0.91,1.57,1.26,1.00,2.26,1.26,2.26
vs Crystal Palace,23,27.2,55.3,23,253,2070,23.0,30,21,51,29,1,1,43,2,32.8,32.0,24.1,56.1,396,1075,1.30,0.91,2.22,1.26,2.17,1.43,1.05,2.47,1.39,2.44
vs Everton,28,27.1,54.5,23,253,2070,23.0,30,20,50,28,2,2,49,0,37.1,35.6,27.4,63.0,476,1018,1.30,0.87,2.17,1.22,2.09,1.61,1.19,2.80,1.55,2.74
vs Fulham,29,27.3,53.7,24,264,2160,24.0,30,18,48,27,3,3,35,5,39.6,37.8,29.4,67.1,362,917,1.25,0.75,2.00,1.13,1.87,1.65,1.22,2.87,1.57,2.80
vs Leeds United,28,27.3,50.4,23,253,2070,23.0,38,23,61,36,2,2,43,1,34.8,33.3,26.8,60.0,344,809,1.65,1.00,2.65,1.57,2.57,1.51,1.16,2.67,1.45,2.61
vs Leicester City,27,27.3,50.0,23,253,2070,23.0,37,27,64,35,2,2,35,1,39.1,37.7,30.7,68.4,415,919,1.61,1.17,2.78,1.52,2.70,1.70,1.34,3.04,1.64,2.97
vs Liverpool,27,27.2,40.1,22,242,1980,22.0,26,18,44,24,2,3,31,1,31.5,29.4,23.0,52.5,288,703,1.18,0.82,2.00,1.09,1.91,1.43,1.05,2.48,1.34,2.38
vs Manchester City,21,27.4,35.6,24,264,2160,24.0,23,15,38,20,3,3,55,2,19.9,17.6,15.0,32.5,272,543,0.96,0.62,1.58,0.83,1.46,0.83,0.62,1.45,0.73,1.36
vs Manchester Utd,26,27.1,46.7,24,264,2160,24.0,27,17,44,26,1,1,33,0,28.6,27.8,20.8,48.6,434,845,1.13,0.71,1.83,1.08,1.79,1.19,0.87,2.06,1.16,2.02
vs Newcastle Utd,26,27.5,48.6,23,253,2070,23.0,15,13,28,14,1,2,50,1,22.6,21.0,18.4,39.4,360,784,0.65,0.57,1.22,0.61,1.17,0.98,0.80,1.78,0.91,1.71
vs Nott'ham Forest,33,27.5,60.5,23,253,2070,23.0,38,26,64,36,2,5,39,0,35.4,31.7,24.7,56.4,496,1085,1.65,1.13,2.78,1.57,2.70,1.54,1.08,2.61,1.38,2.45
vs Southampton,31,27.5,55.7,23,253,2070,23.0,36,31,67,36,0,1,41,1,30.6,29.8,23.9,53.7,364,1010,1.57,1.35,2.91,1.57,2.91,1.33,1.04,2.37,1.30,2.34
vs Tottenham,27,27.3,49.5,24,264,2160,24.0,34,25,59,33,1,1,53,1,28.8,28.0,20.7,48.7,411,934,1.42,1.04,2.46,1.37,2.42,1.20,0.86,2.06,1.17,2.03
vs West Ham,25,27.2,56.2,23,253,2070,23.0,28,22,50,26,2,3,39,0,26.0,23.7,18.9,42.5,463,981,1.22,0.96,2.17,1.13,2.09,1.13,0.82,1.95,1.03,1.85
vs Wolves,31,27.0,50.2,23,253,2070,23.0,31,23,54,30,1,3,42,0,32.8,30.5,23.3,53.8,425,957,1.35,1.00,2.35,1.30,2.30,1.43,1.01,2.44,1.32,2.34
